,Aoa,Mach,Time
0,-1.0,0.25,2.58
1,-1.0,0.44999998807907104,2.39
2,-3.0,0.44999998807907104,2.7
3,-3.0,0.6499999761581421,2.85
4,-4.0,0.25,2.64
5,-4.0,0.44999998807907104,3.14
6,-4.0,0.6499999761581421,3.49
7,-5.0,0.25,3.41
8,-5.0,0.44999998807907104,3.65
9,-5.0,0.6499999761581421,3.97
10,-6.0,0.25,3.92
11,-6.0,0.44999998807907104,4.32
12,-1.0,0.6499999761581421,2.76
13,-6.0,0.6499999761581421,4.7
14,-7.0,0.25,4.43
15,-7.0,0.44999998807907104,5.23
16,-7.0,0.6499999761581421,5.93
17,-8.0,0.25,5.57
18,-8.0,0.44999998807907104,6.96
19,-8.0,0.6499999761581421,7.64
20,-9.0,0.25,7.81
21,-9.0,0.44999998807907104,11.82
22,-9.0,0.6499999761581421,15.22
23,-10.0,0.25,13.62
24,0.0,0.25,2.81
25,0.0,0.44999998807907104,3.07
26,0.0,0.6499999761581421,3.22
27,1.0,0.25,2.83
28,1.0,0.44999998807907104,3.04
29,1.0,0.6499999761581421,3.48
30,10.0,0.25,4.92
31,10.0,0.44999998807907104,5.85
32,10.0,0.6499999761581421,5.54
33,2.0,0.25,2.98
34,-10.0,0.44999998807907104,22.62
35,2.0,0.44999998807907104,3.31
36,2.0,0.6499999761581421,3.57
37,3.0,0.25,3.56
38,3.0,0.44999998807907104,3.67
39,3.0,0.6499999761581421,4.1
40,4.0,0.25,3.53
41,4.0,0.44999998807907104,3.92
42,4.0,0.6499999761581421,4.21
43,5.0,0.25,3.83
44,5.0,0.44999998807907104,4.17
45,-10.0,0.6499999761581421,31.55
46,5.0,0.6499999761581421,4.48
47,6.0,0.25,4.02
48,6.0,0.44999998807907104,4.42
49,6.0,0.6499999761581421,4.89
50,7.0,0.25,4.11
51,7.0,0.44999998807907104,4.64
52,7.0,0.6499999761581421,5.05
53,8.0,0.25,4.35
54,8.0,0.44999998807907104,4.88
55,8.0,0.6499999761581421,5.33
56,-2.0,0.25,2.6
57,9.0,0.25,4.41
58,9.0,0.44999998807907104,5.06
59,9.0,0.6499999761581421,5.87
60,-2.0,0.44999998807907104,2.59
61,-2.0,0.6499999761581421,2.57
62,-3.0,0.25,2.67
