,Aoa,Mach,Time
0,-1.0,0.25,5.71
1,-1.0,0.44999998807907104,5.84
2,-3.0,0.44999998807907104,5.47
3,-3.0,0.6499999761581421,5.49
4,-4.0,0.25,4.93
5,-4.0,0.44999998807907104,5.26
6,-4.0,0.6499999761581421,5.28
7,-5.0,0.25,5.15
8,-5.0,0.44999998807907104,5.31
9,-5.0,0.6499999761581421,5.64
10,-6.0,0.25,5.6
11,-6.0,0.44999998807907104,6.48
12,-1.0,0.6499999761581421,5.87
13,-6.0,0.6499999761581421,7.04
14,-7.0,0.25,6.86
15,-7.0,0.44999998807907104,8.0
16,-7.0,0.6499999761581421,9.22
17,-8.0,0.25,9.1
18,-8.0,0.44999998807907104,11.04
19,-8.0,0.6499999761581421,12.36
20,-9.0,0.25,12.16
21,-9.0,0.44999998807907104,17.13
22,-9.0,0.6499999761581421,22.65
23,-10.0,0.25,22.42
24,0.0,0.25,6.32
25,0.0,0.44999998807907104,6.12
26,0.0,0.6499999761581421,6.23
27,1.0,0.25,6.4
28,1.0,0.44999998807907104,6.37
29,1.0,0.6499999761581421,6.44
30,10.0,0.25,7.38
31,10.0,0.44999998807907104,7.63
32,10.0,0.6499999761581421,7.46
33,2.0,0.25,6.61
34,-10.0,0.44999998807907104,34.54
35,2.0,0.44999998807907104,6.56
36,2.0,0.6499999761581421,6.65
37,3.0,0.25,6.68
38,3.0,0.44999998807907104,7.03
39,3.0,0.6499999761581421,6.92
40,4.0,0.25,6.97
41,4.0,0.44999998807907104,6.92
42,4.0,0.6499999761581421,7.02
43,5.0,0.25,7.31
44,5.0,0.44999998807907104,7.21
45,-10.0,0.6499999761581421,43.41
46,5.0,0.6499999761581421,7.47
47,6.0,0.25,7.14
48,6.0,0.44999998807907104,7.32
49,6.0,0.6499999761581421,7.45
50,7.0,0.25,7.49
51,7.0,0.44999998807907104,7.37
52,7.0,0.6499999761581421,7.57
53,8.0,0.25,7.21
54,8.0,0.44999998807907104,7.83
55,8.0,0.6499999761581421,7.51
56,-2.0,0.25,5.29
57,9.0,0.25,7.39
58,9.0,0.44999998807907104,7.7
59,9.0,0.6499999761581421,7.63
60,-2.0,0.44999998807907104,5.54
61,-2.0,0.6499999761581421,5.36
62,-3.0,0.25,5.08
